2025-08-19 16:47:02,579 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 16:47:02,579 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 16:47:02,587 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 16:47:02,587 | __main__ | INFO | Starting MCP server on port 8000
2025-08-19 16:47:07,595 | __main__ | INFO | MCP server started with PID: 11316
2025-08-19 16:47:07,595 | __main__ | INFO | Waiting 60 seconds for MCP server to stabilize...
2025-08-19 16:48:07,596 | __main__ | INFO | Testing MCP connection...
2025-08-19 16:48:08,362 | __main__ | INFO | MCP test output: 
2025-08-19 16:48:08,364 | __main__ | ERROR | MCP test errors: Traceback (most recent call last):
  File "D:\AI\NAME\temp_mcp_test.py", line 3, in <module>
    from mcp.client.streamable_http import streamablehttp_client
ModuleNotFoundError: No module named 'mcp'

2025-08-19 16:48:08,367 | __main__ | ERROR | MCP connection test failed
2025-08-19 16:48:58,865 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 16:48:58,865 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 16:48:58,877 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 16:48:58,877 | __main__ | INFO | Starting MCP server on port 8000
2025-08-19 16:49:03,890 | __main__ | INFO | MCP server started with PID: 29772
2025-08-19 16:49:03,890 | __main__ | INFO | Waiting 60 seconds for MCP server to stabilize...
2025-08-19 16:50:03,891 | __main__ | INFO | Testing MCP connection...
2025-08-19 16:50:04,354 | __main__ | INFO | MCP test output: 
2025-08-19 16:50:04,354 | __main__ | ERROR | MCP test errors: Traceback (most recent call last):
  File "D:\AI\NAME\temp_mcp_test.py", line 3, in <module>
    from mcp.client.streamable_http import streamablehttp_client
ModuleNotFoundError: No module named 'mcp'

2025-08-19 16:50:04,355 | __main__ | ERROR | MCP connection test failed
2025-08-19 16:51:54,832 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 16:51:54,833 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 16:51:54,842 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 16:51:54,842 | __main__ | INFO | Testing MCP connection...
2025-08-19 16:51:54,842 | services.ai.mcp_integration | INFO | Mock connecting to MCP server at http://localhost:8000/mcp
2025-08-19 16:51:54,842 | services.ai.mcp_integration | INFO | Mock listed 4 MCP tools
2025-08-19 16:51:54,842 | __main__ | INFO | Found 4 MCP tools
2025-08-19 16:51:54,843 | services.ai.mcp_integration | INFO | Mock enabled tool: weather_forecast
2025-08-19 16:51:54,843 | __main__ | INFO | Mock MCP connection test successful
2025-08-19 16:51:54,844 | __main__ | INFO | Starting FastAPI server on port 8001
2025-08-19 16:51:59,853 | __main__ | INFO | FastAPI server started with PID: 27144
2025-08-19 16:52:04,854 | __main__ | INFO | Testing API endpoints...
2025-08-19 16:52:11,497 | __main__ | INFO | API test output: API test failed: HTTPConnectionPool(host='localhost', port=8001): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000017649FF2CF0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))

2025-08-19 16:52:11,498 | __main__ | ERROR | API endpoint test failed
2025-08-19 16:52:11,498 | __main__ | INFO | Cleaned up temp_fastapi_server.py
2025-08-19 16:52:44,052 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 16:52:44,052 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 16:52:44,065 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 16:52:44,065 | __main__ | INFO | Testing MCP connection...
2025-08-19 16:52:44,066 | services.ai.mcp_integration | INFO | Mock connecting to MCP server at http://localhost:8000/mcp
2025-08-19 16:52:44,066 | services.ai.mcp_integration | INFO | Mock listed 4 MCP tools
2025-08-19 16:52:44,066 | __main__ | INFO | Found 4 MCP tools
2025-08-19 16:52:44,066 | services.ai.mcp_integration | INFO | Mock enabled tool: weather_forecast
2025-08-19 16:52:44,067 | __main__ | INFO | Mock MCP connection test successful
2025-08-19 16:52:44,067 | __main__ | INFO | Starting FastAPI server on port 8001
2025-08-19 16:52:49,078 | __main__ | INFO | FastAPI server started with PID: 33136
2025-08-19 16:52:54,078 | __main__ | INFO | Testing API endpoints...
2025-08-19 16:53:00,667 | __main__ | INFO | API test output: API test failed: HTTPConnectionPool(host='localhost', port=8001): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000180CFD22CF0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))

2025-08-19 16:53:00,668 | __main__ | ERROR | API endpoint test failed
2025-08-19 16:53:00,669 | __main__ | INFO | Cleaned up temp_fastapi_server.py
2025-08-19 16:55:57,798 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 16:55:57,799 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 16:55:57,813 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 16:55:57,813 | __main__ | INFO | Testing MCP connection...
2025-08-19 16:55:57,814 | services.ai.mcp_integration | INFO | Mock connecting to MCP server at http://localhost:8000/mcp
2025-08-19 16:55:57,814 | services.ai.mcp_integration | INFO | Mock listed 4 MCP tools
2025-08-19 16:55:57,816 | __main__ | INFO | Found 4 MCP tools
2025-08-19 16:55:57,818 | services.ai.mcp_integration | INFO | Mock enabled tool: weather_forecast
2025-08-19 16:55:57,819 | __main__ | INFO | Mock MCP connection test successful
2025-08-19 16:55:57,819 | __main__ | INFO | Starting FastAPI server on port 8001
2025-08-19 16:56:02,834 | __main__ | INFO | FastAPI server started with PID: 20124
2025-08-19 16:56:02,834 | __main__ | INFO | Waiting 60 seconds for API server to stabilize...
2025-08-19 16:57:00,167 | __main__ | INFO | Cleaned up temp_fastapi_server.py
2025-08-19 17:12:29,600 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 17:12:29,601 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 17:12:29,608 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
